,Region,year,Happiness Score,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,CountryNum
22,CIS,2012,5.214909090909091,9.220454545454546,0.8098181818181818,63.07818181818182,0.6714545454545454,-0.16063636363636366,0.761090909090909,0.6212727272727272,0.22945454545454547,152
23,CIS,2013,5.284636363636364,9.26209090909091,0.8145454545454546,63.38545454545454,0.699,-0.15027272727272728,0.7573636363636363,0.6465454545454545,0.21481818181818182,152
24,CIS,2014,5.293,9.286636363636363,0.8222727272727273,63.692727272727275,0.7134545454545455,-0.05263636363636364,0.7571818181818183,0.6488181818181817,0.21390909090909094,152
25,CIS,2015,5.205909090909091,9.286636363636363,0.8384545454545456,64.0,0.6971818181818182,-0.03918181818181818,0.7528181818181818,0.6546363636363636,0.21445454545454545,152
26,CIS,2016,5.0212,9.3539,0.8278000000000001,64.31,0.6662,-0.0935,0.7788999999999999,0.628,0.2171,152
27,CIS,2017,5.311090909090908,9.33309090909091,0.8147272727272727,64.65454545454544,0.7355454545454545,-0.053,0.7544545454545454,0.6528181818181819,0.23445454545454547,152
28,CIS,2018,5.3491,9.4967,0.8574999999999999,65.07,0.7969999999999999,-0.062,0.7699,0.6342,0.2391,152
29,CIS,2019,5.5431,9.5311,0.8606,65.4,0.8122,-0.0874,0.6954,0.679,0.2257,152
30,CIS,2020,5.686333333333334,9.543166666666666,0.872,65.21666666666667,0.8213333333333334,-0.029500000000000002,0.8141666666666666,0.6930000000000001,0.241,152
31,East Asia,2006,5.7605,10.461500000000001,0.8285,69.44,0.6725,-0.040999999999999995,0.8225,0.7324999999999999,0.21600000000000003,43
32,East Asia,2007,5.538,9.917333333333334,0.882,67.58666666666666,0.7443333333333334,-0.028333333333333332,0.8433333333333334,0.664,0.212,43
33,East Asia,2008,5.3355,10.10975,0.84775,68.195,0.6055,-0.0465,0.8335,0.70075,0.193,43
34,East Asia,2009,5.746499999999999,10.4385,0.8495,72.39,0.665,-0.153,0.7635000000000001,0.741,0.189,43
35,East Asia,2010,5.747,10.1475,0.86325,68.75,0.68925,-0.01725,0.81775,0.7615,0.151,43
36,East Asia,2011,6.080333333333333,10.022666666666666,0.8913333333333333,68.71333333333332,0.7319999999999999,0.017,0.8306666666666667,0.7080000000000001,0.16733333333333333,43
37,East Asia,2012,4.885,9.158,0.919,60.8,0.688,0.107,0.932,0.689,0.181,43
38,East Asia,2013,5.610333333333333,10.112666666666668,0.8853333333333334,69.20666666666666,0.737,-0.020333333333333328,0.8033333333333333,0.7063333333333334,0.18099999999999997,43
39,East Asia,2014,5.516333333333333,10.141666666666666,0.8603333333333333,69.45333333333333,0.7376666666666667,-0.012000000000000005,0.7866666666666666,0.674,0.214,43
40,East Asia,2015,5.547666666666667,10.154666666666666,0.8656666666666667,69.7,0.7113333333333333,-0.006000000000000003,0.7983333333333333,0.6903333333333334,0.20933333333333334,43
41,East Asia,2016,5.6610000000000005,10.162666666666667,0.886,69.89999999999999,0.729,0.018,0.82,0.71,0.19866666666666669,43
42,East Asia,2017,5.706333333333333,10.191,0.871,70.10000000000001,0.6873333333333335,-0.024333333333333332,0.7916666666666666,0.6793333333333335,0.20833333333333334,43
43,East Asia,2018,5.699666666666666,10.217333333333334,0.8753333333333333,70.3,0.6896666666666667,-0.09866666666666668,0.7776666666666667,0.6726666666666666,0.19799999999999998,43
44,East Asia,2019,5.791333333333333,10.237,0.8690000000000001,70.5,0.741,-0.05366666666666667,0.7360000000000001,0.7113333333333333,0.19899999999999998,43
45,East Asia,2020,5.974,10.208,0.871,70.7,0.745,-0.07466666666666667,0.7056666666666667,0.6726666666666666,0.231,43
46,Latin America and Caribbean,2006,5.5761111111111115,9.104388888888888,0.888,64.10333333333332,0.7353888888888889,0.020833333333333332,0.7952222222222223,0.7961111111111111,0.2912222222222222,272
47,Latin America and Caribbean,2007,5.801941176470589,9.285058823529411,0.8491764705882353,65.19294117647058,0.7264117647058823,0.02605882352941177,0.8126470588235294,0.8119411764705883,0.2683529411764706,272
48,Latin America and Caribbean,2008,5.750157894736842,9.239842105263158,0.8461052631578948,64.08842105263159,0.7045789473684211,-0.0032105263157894736,0.7923157894736842,0.7931052631578946,0.2697894736842105,272
49,Latin America and Caribbean,2009,6.366666666666667,9.315222222222223,0.8614444444444445,65.6,0.7308333333333333,-0.016,0.7847222222222222,0.8278888888888889,0.25183333333333335,272
50,Latin America and Caribbean,2010,6.179631578947368,9.262842105263157,0.8510526315789475,64.03157894736842,0.7400526315789474,-0.010210526315789474,0.7671578947368421,0.8126842105263158,0.24663157894736842,272
51,Latin America and Caribbean,2011,6.04575,9.2995,0.82805,64.548,0.77515,-0.03055,0.771,0.8138,0.27035,272
52,Latin America and Caribbean,2012,6.057888888888889,9.31388888888889,0.8446666666666667,64.88111111111111,0.7801111111111111,-0.0004999999999999974,0.7680555555555555,0.8150555555555555,0.2882777777777778,272
53,Latin America and Caribbean,2013,6.159000000000001,9.34545,0.8500500000000001,65.374,0.7886,-0.03425,0.7755,0.8131999999999999,0.28700000000000003,272
54,Latin America and Caribbean,2014,6.0653500000000005,9.35445,0.8484999999999999,65.787,0.77525,-0.024800000000000003,0.7706999999999999,0.81465,0.28890000000000005,272
55,Latin America and Caribbean,2015,5.940894736842105,9.350947368421053,0.8390000000000001,66.17368421052632,0.7702105263157895,-0.03905263157894737,0.7922105263157895,0.8073157894736842,0.3056315789473684,272
56,Latin America and Caribbean,2016,5.897,9.363,0.8467368421052632,66.40526315789474,0.7796842105263158,-0.04815789473684211,0.8073157894736842,0.8064210526315789,0.30926315789473685,272
